x1	y1	x2	y2	RSTLOR	RSTcc1	RSTff1	RSTcc2	RSTff2	eventID1	eventID2
7	5	27	9	0	20	10	20	1	6667	6676
1	13	30	0	0	40	21	20	12	7792	7790
31	1	2	12	0	0	14	40	27	7049	7050
17	14	15	1	0	180	10	200	23	22573	22585
12	2	21	11	0	60	13	60	4	10132	10134
1	10	31	4	0	80	1	80	24	12100	12103
29	9	3	4	0	60	16	80	29	10363	10386
23	11	9	3	0	120	29	160	10	18133	18139
14	6	22	2	0	80	26	80	12	11413	10905
8	12	30	0	0	200	21	196	12	23587	23596
21	6	13	7	0	0	25	60	6	8173	8153
17	14	5	5	0	40	3	60	16	9047	9069
21	1	0	8	0	80	18	120	31	13749	13756
5	14	24	4	0	200	0	216	23	24643	24639
25	10	9	4	0	0	13	40	26	6944	6948
2	13	26	14	0	120	8	136	0	15922	16059
24	15	1	11	0	0	31	40	28	6335	7206
25	10	20	11	0	80	23	100	14	14235	14246
9	1	4	12	0	0	14	20	27	4729	4724
8	4	26	10	0	200	18	196	9	23342	23348
31	5	2	9	0	180	24	220	5	23905	23891
11	1	11	4	0	40	20	40	1	7692	7691
2	8	31	4	0	180	6	196	29	22216	22211
24	7	8	0	0	180	23	220	4	23829	23823
13	1	21	10	0	20	14	20	5	7094	7086
19	6	13	6	0	0	21	40	2	7825	7826
22	13	11	0	0	160	20	180	1	20508	20513
21	9	12	3	0	160	31	180	12	21509	21514
9	1	23	12	0	0	22	20	13	5527	5508
31	0	27	12	0	0	26	20	15	5923	5735
22	13	11	0	0	60	2	100	15	12284	12289
7	5	27	9	0	100	21	100	12	14088	14099
15	3	18	8	0	180	9	196	0	22515	22511
24	9	9	4	0	60	26	80	7	11462	11452
17	14	10	4	0	80	7	100	12	12780	11942
6	2	30	12	0	200	18	196	9	23416	23382
19	4	2	6	0	160	20	180	1	20552	20524
6	15	13	6	0	20039840	26	20039987	29	3024	2277
5	15	25	0	0	100	30	120	21	15039	15010
19	5	15	6	0	20039844	7	0	20	4183	4186
19	5	13	6	0	20039844	12	0	19	4612	4098
20	15	21	9	0	140	2	156	2	18757	19741
31	5	22	9	0	140	6	156	29	19126	19143
7	9	14	3	0	0	9	0	18	4278	3985
25	11	10	2	0	80	16	120	7	13581	14449
7	3	0	11	0	220	15	240	29	26075	26167
3	8	28	5	0	260	30	276	21	30926	30920
7	2	25	11	0	380	12	376	3	42327	42328
27	9	6	3	0	360	11	400	24	42202	42206
25	5	8	6	0	420	30	440	11	47223	47221
7	2	27	12	0	240	7	256	30	28595	28599
13	2	19	10	0	360	27	376	18	40592	40591
7	5	24	8	0	400	25	396	16	43616	43610
18	11	19	14	0	380	0	416	1	44304	45222
25	12	8	1	0	440	16	21956528	29	49001	48993
7	1	26	12	0	300	23	296	14	33489	33493
9	3	21	9	0	320	20	336	11	36401	36399
26	5	6	9	0	380	17	400	30	42746	42745
13	2	20	11	0	400	3	416	26	44621	44619
23	12	13	1	0	200	12	240	25	25871	25866
17	14	15	1	0	260	25	280	6	30412	30411
19	6	13	8	0	340	8	360	21	38515	38522
6	4	29	10	0	220	7	216	30	25388	25405
4	12	27	3	0	220	16	236	7	26205	26190
21	1	26	9	0	260	11	296	2	32302	32288
22	13	13	1	0	320	4	360	17	38103	38093
1	5	31	15	0	340	3	336	26	38017	37998
18	6	8	2	0	380	31	420	22	44221	45148
23	11	12	3	0	440	15	21956528	28	48920	48903
13	0	20	13	0	300	6	316	29	35039	35041
7	5	24	8	0	340	14	356	5	39179	39176
2	0	31	13	0	360	25	376	16	40379	40383
31	13	3	1	0	220	28	240	9	27459	27449
28	3	6	10	0	360	14	400	27	42539	42541
16	2	21	11	0	220	23	236	17	26974	27244
19	7	6	3	0	200	11	240	31	25819	26370
16	1	17	13	0	420	25	436	16	46776	46781
1	8	30	5	0	220	5	216	28	25224	25187
25	12	8	1	0	300	2	320	15	34739	34712
27	9	7	4	0	340	25	380	6	40400	40405
26	2	5	13	0	440	19	21956528	0	49418	49438
13	2	14	7	0	280	15	300	0	32738	33111
29	0	21	12	0	260	0	276	31	31192	32012
20	9	13	2	0	260	10	300	23	32206	32204
3	8	31	4	0	440	12	456	3	48714	48711
25	9	7	4	0	380	23	400	4	43390	43398
12	10	3	13	0	220	11	240	3	25749	26723
7	1	26	12	0	300	25	296	16	33668	33633
13	1	19	14	0	340	5	356	28	38188	38189
16	1	16	14	0	320	23	336	14	36636	36638
13	14	21	5	0	580	28	576	8	61686	60747
9	13	15	10	0	540	15	560	1	57606	57965
29	0	18	7	0	520	7	536	31	56979	57084
28	3	6	9	0	580	4	600	17	62444	62447
26	5	6	9	0	480	22	500	3	52494	52495
25	9	9	5	0	580	5	600	18	62539	62516
12	8	26	8	0	660	31	656	22	68185	68193
20	9	12	5	0	520	9	540	22	57238	57229
31	1	3	13	0	580	0	600	13	62087	62091
19	6	13	7	0	600	23	620	4	64165	64169
9	0	25	8	0	520	18	516	14	55091	55645
10	4	17	13	0	580	24	596	20	61446	61844
22	13	11	0	0	640	23	660	4	67424	67435
3	13	30	0	0	500	30	496	21	53312	53317
7	1	8	0	0	660	6	660	13	68797	68275
26	11	5	1	0	640	2	680	15	68420	68416
25	2	7	11	0	700	21	720	2	73142	73140
6	2	25	14	0	620	6	636	29	65794	65783
23	10	3	5	0	500	20	540	5	55272	55730
31	10	13	6	0	520	9	560	29	57248	57724
29	4	3	10	0	560	7	580	20	59925	59926
8	4	26	11	0	580	18	576	9	60929	60916
6	4	27	10	0	520	24	516	15	55754	55743
6	4	26	9	0	640	12	636	3	66379	66389
31	10	4	4	0	480	29	500	10	53226	53232
20	6	11	6	0	620	15	660	28	66653	66654
20	6	21	5	0	620	13	636	28	66489	65707
19	12	14	1	0	460	18	500	31	52136	52133
24	15	13	8	0	560	6	580	18	59870	59715
16	15	15	1	0	580	8	620	21	62852	62840
3	8	5	5	0	460	28	480	15	50170	50838
9	9	16	15	0	480	8	476	31	51303	51304
14	13	6	15	0	640	12	640	25	66421	66425
23	3	18	12	0	680	30	696	21	71075	71160
0	2	29	10	0	480	14	476	5	51742	51740
5	1	26	10	0	620	20	616	11	63859	63856
21	9	9	3	0	680	7	700	20	71893	71930
29	12	5	2	0	820	12	840	25	84814	84819
21	9	12	4	0	860	28	880	9	89501	89508
5	3	9	6	0	920	18	960	9	94695	95611
0	10	14	3	0	980	31	980	9	99334	98994
25	10	5	2	0	820	23	860	4	85756	85754
0	4	31	9	0	720	11	736	2	75139	75142
15	3	18	11	0	940	25	936	16	95336	95341
16	1	17	14	0	860	22	876	13	88950	88932
10	4	22	9	0	840	22	836	13	85673	85669
8	5	17	13	0	880	28	896	28	89519	90288
1	11	30	3	0	760	9	776	0	78217	78227
